1-gram,*/*
HNN,7585217
HWO,7584809
ASB,7582418
MWE,7578175
YSF,7568092
HRY,7546125
LYG,7537106
LKL,7527886
ILN,7525308
LDB,7519520
SSP,7490799
GDA,7480989
KOU,7466678
SPY,7461368
BYZ,7422585
KRO,7415793
GIZ,7415397
ELR,7412250
SHW,7408534
NCS,7400433
OLG,7390491
UEA,7375394
EZU,7373146
IOE,7372506
LHA,7371931
MIF,7364602
OAG,7358731
EYB,7343368
ISQ,7337968
HSI,7337928
YAS,7334157
NGW,7327595
ZAL,7324482
BBS,7288501
ISN,7287711
UEO,7286223
OYF,7274058
HEX,7268548
GDP,7267305
AAL,7263628
KYL,7262388
CHF,7229487
XHO,7226205
INR,7213607
EIB,7192140
ATK,7180400
YPN,7177207
SNU,7175967
NVY,7174633
KAU,7165195
EYL,7158042
SGI,7153191
XLE,7135526
TBE,7133516
LDN,7127724
YEB,7124226
LNU,7120655
YOK,7113076
NSD,7110325
KEF,7089654
OWY,7072219
EIJ,7063529
YCA,7063445
PIV,7053771
EIF,7045587
WDS,7039918
APM,7028892
LAF,7026243
ERZ,7010565
UQU,7004447
TFA,6968092
JUT,6963724
IEE,6963165
COY,6962454
CYA,6948847
OKO,6946437
KHE,6943064
YDI,6941457
MSS,6937265
EWD,6928861
SWU,6920155
TZS,6918405
KEV,6916226
AHN,6912415
EEE,6911166
GEI,6899960
CKT,6888628
LYL,6873489
CHD,6868032
TBU,6867385
RUZ,6845119
ANJ,6843044
ABC,6839108
KWE,6838601
CYR,6827085
EVU,6826632
YMI,6822643
AUV,6802638
IUR,6795011
ZSC,6787617
OSW,6785825
PUG,6781429
CEB,6766936
LLP,6763392
AUP,6751501
NSB,6746273
PUF,6733579
AUK,6726884
RCK,6720601
FTA,6715690
ESN,6687566
SYP,6684151
NUB,6683022
ANP,6682726
ODH,6673034
IHA,6670573
ALZ,6660429
JEE,6654279
WCO,6651387
LBR,6646103
CST,6644934
OMW,6622764
PGR,6618166
AET,6603804
AEC,6592951
AIZ,6588199
IBM,6585985
DOB,6582985
AKT,6580578
FSH,6572003
ZUE,6569530
BOC,6569143
WBA,6568399
YNX,6568006
FTO,6563141
TTG,6558603
RNH,6547312
YAC,6544143
YOL,6533847
AWT,6527190
ELK,6524816
KOC,6495650
AOL,6493993
TNU,6482894
OAH,6477449
UIA,6467815
AAS,6464898
BME,6452103
MTE,6451197
EAW,6448438
DDO,6413969
UPB,6409600
ODB,6407811
WOE,6405060
KOH,6397784
ZOI,6383232
ORQ,6370163
BUK,6370001
SPS,6360376
AYD,6354801
EYW,6350644
OWR,6346637
TYI,6343666
NIR,6300306
NHU,6298719
HEZ,6294358
MSH,6291992
PBO,6287169
VOG,6286563
BYP,6285965
BUO,6285764
RNU,6275168
DSE,6274735
YCI,6239692
ZAC,6232947
ODM,6229752
GNU,6224793
WCA,6217499
KOS,6214993
EIA,6213543
AKR,6211168
UKA,6191852
SOY,6186671
MFE,6177915
LYA,6173185
PAE,6169936
BEQ,6169679
NDC,6153241
TYM,6148852
UBP,6147909
BIK,6138661
NUU,6132264
DDU,6097158
LAO,6083312
BCU,6078752
IKO,6066438
AXW,6052637
XWE,6052637
XUS,6052450
SEK,6050275
UKO,6040595
YSA,6040434
ALH,6030275
PEX,6020274
TTU,6017505
GWA,6013089
KEG,5997935
PZI,5996393
YRS,5994842
IKS,5979897
OUX,5963867
GFI,5953956
CHC,5949504
UOI,5946622
ZOR,5931536
DFI,5916950
PYL,5909880
UEV,5894302
KAH,5880814
VUE,5866845
SKR,5863285
JAG,5854386
GSH,5851486
RNW,5850236
LRI,5847277
AEG,5845984
NAA,5840001
IPZ,5831709
SHT,5830180
OHM,5826606
ADB,5826298
OHL,5824432
KKE,5823847
UZE,5819036
ATZ,5811191
RNB,5797130
XPU,5795836
HWH,5788923
AWO,5787938
LAQ,5778183
LLW,5768671
SQL,5753035
PIX,5748059
ATP,5728680
AAN,5727793
NTF,5727460
BIQ,5715748
MCN,5714217
THP,5713013
SUO,5709426
MCI,5708691
DCH,5707251
IFS,5697868
ZIS,5693798
BHO,5679372
JUP,5674106
WAU,5669451
SUZ,5658091
EEH,5656677
YSP,5654255
UJA,5651822
FIO,5648387
RSK,5640087
IAI,5639954
WAF,5638898
BIP,5633369
WBE,5626256
AGD,5602363
UIZ,5599944
UFT,5598406
AKU,5596663
MUF,5585831
RNF,5582862
AXT,5580781
LDF,5568548
AIK,5567043
KEO,5561836
RKF,5553365
WKI,5545199
UBG,5544943
SHB,5540406
YRD,5539292
INZ,5529316
FBI,5526453
ARH,5519773
KHS,5518026
RWR,5516080
YOM,5515645
MSC,5497480
JEH,5497278
CUF,5497129
TAE,5481248
HUF,5480794
WNL,5465378
LWO,5464860
ULV,5455346
LKN,5453015
WYN,5447582
LPR,5445496
VEO,5442014
PTR,5437663
LDM,5426564
PEM,5415560
DKE,5413844
OBY,5412676
OEX,5404819
ZOL,5403152
YKE,5396157
ONH,5391488
TGR,5391167
OFL,5386932
OZY,5379056
LII,5371548
VAH,5367799
OZZ,5362416
ZHE,5356945
MOW,5353448
IIA,5338522
IHR,5336653
ZUM,5330619
UDU,5330283
BUZ,5326983
RDM,5324588
RKO,5322929
UPG,5316215
AIE,5311821
TPL,5309714
OYN,5308351
KLU,5301612
YAH,5297869
NTZ,5288862
DUD,5271987
WSL,5271215
OXA,5269764
FFY,5266758
FWA,5266330
OIE,5252316
TCR,5240116
BAV,5233176
OVU,5227156
AEV,5222777
ZYG,5207166
AHU,5202896
PPS,5194908
RIQ,5187756
RUV,5181704
HIU,5174779
OSK,5172041
HSO,5170724
XOD,5168834
WIZ,5166523
LML,5160338
LBI,5139983
LFW,5139581
BAF,5139343
FUZ,5134184
RDT,5126119
UNY,5119739
ETP,5117482
FAE,5103702
PEZ,5099422
MEV,5093015
JEL,5085002
IHE,5073727
RJE,5072294
TML,5072048
NDK,5069509
TIK,5061806
IBY,5052095
BIU,5049178
CAH,5034770
UOY,5024287
DWR,5016158
WEH,4993281
AEA,4982981
UXT,4982507
BAZ,4978077
MCA,4974039
THB,4970292
SCS,4967975
VSK,4942640
AEN,4938421
YOF,4936780
NUG,4932981
OMT,4931574
FFN,4928627
ARJ,4928058
EML,4927568
BIZ,4926149
LBY,4917881
KSE,4914237
PEB,4899400
TAO,4894350
WAH,4893448
BJU,4882097
PPM,4880944
MOE,4874346
GAA,4871487
SSH,4866736
LMU,4866708
GOC,4865352
HCR,4860772
PPU,4857287
RHU,4849062
NGK,4821326
TSP,4820880
TSY,4812232
AOH,4805234
TYN,4804441
OSN,4791486
EDT,4787704
RLB,4781652
OTM,4778484
GOB,4770331
PUC,4769091
GEW,4766224
YGR,4765549
NKT,4762997
KEH,4759456
OJO,4750415
JUB,4735547
DBY,4726762
TZG,4726653
KRE,4723411
VLA,4715306
ODF,4714209
JEO,4697416
OAX,4695598
LUV,4691724
MSY,4688411
YWR,4688366
JIA,4661008
HEK,4648814
WAP,4642725
GEV,4638627
DSP,4629683
OKU,4629034
CNI,4628843
KYA,4626975
PAQ,4623958
CNA,4621031
TYS,4618211
ICN,4614378
AWH,4600564
CSI,4585091
BTI,4576129
DBU,4573591
JOC,4569065
DUF,4566660
ZEK,4559230
CYM,4549795
FAK,4547359
VEF,4547167
MSA,4540192
IIN,4532639
EFY,4527750
EWF,4523658
MRI,4518665
ZHA,4517147
VEE,4516901
DYA,4516519
ZGE,4515319
AKY,4500253
EJA,4496996
AEU,4496430
UGN,4488987
GNP,4487644
VAJ,4478205
NGY,4462388
KSG,4457463
MOY,4443086
JIL,4438247
WST,4435913
HIH,4434608
BGR,4433978
SDU,4433173
WYO,4433094
ARZ,4432399
RNL,4430704
RGS,4428635
WDI,4428157
UKI,4412286
PIZ,4409547
EPY,4405833
MCM,4404939
CKF,4404008
MNL,4402205
IMF,4399602
PEY,4394330
LXX,4384186
RIJ,4382241
ZEP,4378758
ISJ,4378038
VIU,4373202
CUC,4373196
JAU,4355280
YUN,4345412
NKY,4341237
NSS,4337200
KOK,4336739
ETF,4332457
OOG,4328202
KSM,4327551
ZMA,4326129
MLA,4322271
DIK,4318335
SHV,4301623
HVI,4301623
AXY,4296965
AQI,4294414
MYL,4293599
UDW,4293092
EIK,4287795
OPF,4287783
BYI,4279294
OOC,4276246
EGH,4273666
AOT,4264209
PYT,4263881
IPB,4260804
IEK,4257765
UDR,4257372
ONB,4256043
GOP,4254928
WSU,4253193
TVI,4248985
EHM,4242211
YAK,4232292
NSN,4227720
XML,4225570
BWE,4212748
DAE,4211261
KTA,4202571
ZZO,4201375
MPY,4197121
RSL,4189936
LLT,4181040
RDB,4173887
OOO,4156543
ZOA,4147965
AJI,4142386
ENP,4127430
UAE,4126185
LNA,4119291
KTH,4115298
EKA,4102356
OUA,4097226
KUM,4091216
WKE,4085254
IYA,4084782
PCO,4084106
ODC,4074332
GWO,4070158
AIP,4069736
HHE,4061111
BYA,4058488
CAO,4051274
GHU,4049674
BSY,4043390
DSA,4041018
YLY,4040992
PBU,4033977
IOI,4023603
ILC,4020854
NAO,4020082
GAO,4014923
BEZ,4009804
HAA,4004097
GKO,3998551
KTI,3996177
IVR,3989087
OGH,3986429
RZE,3983388
GGO,3982437
GAW,3981530
DBI,3978865
BIF,3975015
GYR,3973964
KWI,3971671
LDC,3970027
ZAS,3967351
NGB,3966425
RKY,3966237
OUM,3966040
JUX,3958402
GMU,3957497
EEW,3956327
KPI,3943223
CUD,3938503
CNE,3938497
SHC,3936890
SSB,3932284
LOH,3930460
MRN,3927262
EYD,3925120
RNY,3920782
XLI,3920250
OAF,3919163
IEZ,3914521
ZIA,3912282
RKU,3905220
KAZ,3897672
HUI,3892652
AMW,3876051
ZIP,3873841
YUA,3872977
KAW,3871765
AMD,3869213
UNV,3861593
OJA,3859050
MHO,3855563
YFI,3853744
STB,3852221
EZZ,3846269
OEA,3844805
ZEB,3844287
YAW,3838025
ZEE,3834938
EYR,3829318
ZHO,3816125
GUP,3810589
UJI,3809994
PAO,3803703
DII,3790515
PUI,3784986
TDE,3784952
XUD,3783113
AYG,3780876
ACP,3778946
MNO,3778860
XOG,3776095
ZAG,3774922
YAD,3772384
BEM,3771523
KOW,3769962
SKT,3765347
KEU,3765139
YOP,3756736
UFO,3756467
MCH,3756329
IAO,3750777
UBY,3745692
WUR,3731606
SVA,3730961
BDE,3730038
XCO,3726678
NBL,3717793
UWA,3710453
OIX,3709151
HMU,3697566
ZAK,3697216
RBR,3688788
TSW,3683684
AWM,3679888
TFL,3677718
LDT,3666476
AWD,3665080
BCL,3663379
CYB,3659943
FAW,3658117
MEF,3658050
TFE,3653949
PKE,3648489
KPO,3641243
KSP,3640680
ZRA,3640004
IIR,3632903
SAO,3631405
LND,3625127
ELW,3623010
NUP,3622677
PHD,3618610
OWF,3615624
LDU,3611748
KUW,3605018
OIG,3604054
JAD,3600308
BSP,3596575
TOZ,3592289
ADP,3588703
OKK,3587911
EHU,3581436
LNS,3580266
JOV,3577087
GMS,3575593
FOD,3572160
UHR,3571932
YRN,3566940
HCA,3561251
HTR,3560422
UON,3559985
PRY,3559580
AHW,3550124
RMN,3548951
KNU,3546777
UOS,3546582
RZA,3545507
DCU,3544738
NWR,3538542
LTM,3537854
OWP,3536991
WOF,3536111
VIX,3529455
HTA,3528889
EVR,3527742
KOO,3515157
OTP,3509832
SOJ,3507191
DYK,3502868
XET,3494926
OHR,3489770
UMC,3488572
XIG,3486691
NYH,3485662
MAF,3481458
HIJ,3466802
SOH,3466566
ANM,3464354
HPL,3459681
HFI,3458389
UTZ,3453856
AZU,3448089
OZI,3444383
DSL,3438215
RTB,3427158
IIL,3424466
DHU,3424325
RJU,3422093
EZR,3419072
OEI,3418741
GSO,3403070
BNI,3402680
ACB,3399747
AMT,3399172
LSS,3395886
KDA,3394377
RJO,3392041
HTW,3391166
DEK,3388970
ISV,3386683
YMS,3384580
LIJ,3383669
FAH,3375205
BBC,3374715
YSH,3369045
EEG,3367863
ZEU,3367443
LQU,3361915
LZH,3346976
EEX,3339370
LOK,3335867
MPK,3332829
ZAA,3328030
TZI,3327648
EOW,3327298
SGE,3319625
YSL,3319337
MEZ,3309597
ZTE,3309238
AOI,3308266
OCS,3304874
JED,3304792
SIQ,3304224
DGW,3302829
YFR,3299312
ESW,3286994
UEF,3286873
AZT,3282212
SMY,3282141
SPP,3281875
ZUL,3275866
IJU,3272599
BIH,3269708
CZA,3264055
CBS,3261079
XUL,3257720
KUO,3256541
UZA,3249730
OUF,3249061
MII,3246715
RFS,3243538
CBE,3241916
EQS,3237101
GEH,3233484
BAX,3230330
NHY,3226809
IIS,3226137
OXO,3224695
CPU,3222018
RZO,3216547
RLF,3216272
ABW,3211767
DOY,3211032
EIE,3209478
GHD,3207747
RND,3204681
UFM,3202895
VAM,3199695
MDE,3189347
LEZ,3187433
OIM,3186047
GBY,3185244
BWA,3177136
IVU,3165898
KPA,3163044
OWO,3159559
UMV,3150719
MUI,3144788
LYB,3142298
TCL,3135695
GUJ,3134228
LNT,3133950
WDO,3133626
GSB,3131588
KOB,3131220
CKD,3123296
MEP,3119874
RPM,3118916
IEH,3116880
YBA,3109462
WSI,3108639
SHK,3108556
SAE,3105268
AYU,3101468
ORV,3101384
MAA,3100847
MSI,3097142
CGI,3094389
CNS,3076883
HBU,3066993
URZ,3065287
TYF,3063239
RKB,3062601
SST,3061455
BEK,3061070
AXL,3058188
KHR,3057738
HCH,3057738
BTU,3051804
JOG,3046282
YEI,3039988
CFA,3038408
BIM,3037035
TVA,3036400
EUB,3036261
CPH,3031418
LVO,3025684
HUY,3022819
ABJ,3020388
UOM,3020182
FTN,3016758
SOZ,3007964
CMA,2996752
YID,2994223
THT,2987944
EUI,2984570
LFG,2981030
AMH,2980742
UXL,2976514
HUX,2976514
EZA,2974049
KCA,2968963
PWR,2967086
YEW,2963583
USD,2962495
EVS,2960656
FIJ,2955641
KUA,2950012
OOZ,2944410
PUA,2941464
HTT,2937795
APN,2932851
VIP,2932309
SEZ,2931299
MUZ,2924066
JEU,2924051
VOO,2922090
FAG,2921621
CSO,2919078
TCP,2917978
PAH,2917043
TPE,2915101
YUR,2914602
LLC,2911084
OYB,2910051
FDA,2909674
ZBE,2907343
KOM,2906524
NJI,2902687
LFF,2896061
XEG,2894626
VUS,2894549
GDE,2888380
MYA,2884146
ZWI,2879378
SJU,2878648
IKK,2875988
OIA,2874246
BAJ,2870790
UWE,2869458
PIM,2866400
MHZ,2865938
ERQ,2859554
WNF,2857753
OYH,2857097
MWO,2856855
GOY,2851397
NKM,2850189
ULW,2848370
NTN,2846776
ZVO,2839628
JIT,2839395
LSC,2838979
IAV,2835058
UIB,2834326
BOK,2834320
TPR,2824797
TCU,2822646
KAF,2821402
MAV,2818434
AYH,2818368
WKS,2815510
MIP,2810332
IPW,2806160
EZO,2806015
HBE,2796992
IDR,2791683
HOY,2790825
ODP,2789388
OWC,2786233
YEM,2785105
VAA,2780018
AVS,2770724
JIG,2766456
MSB,2763199
XUB,2760412
ZOD,2754178
KUH,2754062
SCY,2752188
JAL,2749688
WNY,2744265
ATV,2743660
EGF,2740694
TSD,2739966
RAA,2739299
FGA,2735232
KKA,2732053
BHU,2728359
MHE,2725370
LWI,2723285
PBR,2722084
BUQ,2705907
DEJ,2697977
HYN,2692009
RFR,2691262
GMO,2688111
RCS,2678368
KBU,2675809
UVO,2673810
IOB,2672107
DCO,2671361
HNU,2670272
PCR,2668635
GWI,2666825
NRU,2660086
OUQ,2649767
KOP,2649679
KSB,2649655
OGD,2642497
TGU,2638469
NBI,2633001
DFR,2630747
WSK,2628558
ZWE,2623287
GTI,2621551
AVR,2621435
VRI,2613479
BSA,2612949
AVU,2612272
SKO,2611680
MRO,2609966
FCA,2609372
ZAI,2609229
HSC,2606482
ITD,2602527
KBA,2601397
UFU,2599511
LSD,2595880
HPU,2591543
BPO,2591108
ZZE,2588534
XLV,2587832
UDH,2586413
NYD,2585962
SNY,2585962
STG,2585353
PAZ,2584555
UCS,2579539
LSY,2573803
KOD,2573141
SOK,2568273
RLT,2566485
UEG,2566273
UBH,2563157
MFI,2563048
WYA,2562180
GBO,2560742
GKI,2560522
BAE,2557041
ACN,2552476
LWE,2548448
SHF,2546929
AUZ,2546426
NBY,2544801
UEP,2540016
EZV,2536073
WIX,2534850
FUJ,2532851
HCL,2531832
PMO,2527311
UBN,2527075
FOM,2523568
BAA,2520260
ZIR,2518600
DCL,2516097
AFN,2511805
YEO,2506865
STD,2499466
ULR,2499137
UBW,2497890
NDD,2494608
UFI,2494038
VEW,2482502
NUX,2481657
NMR,2480403
USQ,2478613
IIB,2478551
HYC,2478111
AGY,2475781
UKU,2475058
VRA,2468815
LKW,2468335
YLC,2463531
VUM,2462865
HUH,2461239
TAA,2460884
GWE,2460391
PIF,2459942
IMR,2458131
LSB,2456198
FII,2451784
KUS,2451743
CSF,2451178
RYC,2450469
MSK,2447228
LEK,2447119
UFL,2445718
RLU,2444213
IHU,2439700
NLU,2439696
FCC,2438378
RII,2436201
DSU,2435316
MVE,2425335
RMH,2424716
LDV,2423022
HBY,2419697
FDI,2415219
ESV,2413794
YHE,2408143
HKE,2404533
AGP,2403707
TZM,2399704
APK,2392365
POA,2388325
GYA,2385927
UIX,2383658
VEZ,2382588
PPH,2375176
EXY,2370944
YRR,2370319
DOA,2369138
SJO,2366643
IGY,2363376
DBR,2363040
RKW,2357308
OLH,2356860
YGA,2353326
XYS,2340604
HPI,2336437
HBR,2335956
IEP,2335240
RSM,2333746
SOG,2333667
EIO,2329980
DGR,2325141
WWW,2324227
ZAP,2322724
UIF,2315175
PHN,2314189
AAT,2312828
CII,2307492
YBD,2303812
LLD,2302157
IPY,2301160
ZHU,2297726
ZOS,2292843
KBE,2291430
NTP,2289533
ITB,2285299
HCE,2280119
GFR,2279477
WOW,2277260
UPC,2276093
WNR,2275562
GTE,2275447
WPE,2273850
EOB,2265005
JOT,2264803
UAW,2262459
JAF,2259793
TEZ,2256640
LMM,2252556
LFS,2251994
BAW,2248610
UYA,2247136
MPM,2246246
YTT,2245817
BOP,2245664
HDE,2245602
ZBU,2240722
ELQ,2235808
KAO,2234430
VRO,2232109
DAF,2231238
AAA,2227880
AIU,2227861
AMR,2226400
DTA,2223963
MIB,2220176
WOT,2219209
UIG,2218623
WNH,2215905
IOF,2215371
ILP,2208981
NOH,2208973
DPE,2205667
CAJ,2200996
HRS,2199546
DYM,2197722
MOF,2197049
URQ,2194690
SSC,2189234
TIH,2189111
OTG,2188707
DLB,2187812
SKL,2186811
IMY,2186054
JIB,2185918
WSW,2183306
LLL,2182730
IGB,2180685
ASW,2180483
KII,2180475
EKK,2180466
BDA,2176843
DHY,2175846
UHN,2175024
GHP,2172700
NKO,2172347
UOL,2166451
CTH,2158653
MMS,2156697
HBA,2153615
AOU,2147445
RUH,2144589
GEG,2142954
MEU,2142492
AIF,2139951
HOH,2138710
KSI,2136344
ASD,2136268
YMU,2134811
SVO,2131542
CKR,2128913
KUB,2128429
AKK,2128117
AHS,2126733
RMC,2126528
LEJ,2126260
CCP,2124731
RUO,2119421
QIN,2119121
STV,2116773
OOE,2114209
RSS,2108275
MCP,2108138
VOD,2104696
GSL,2101859
YSC,2100573
EKH,2100563
DEY,2097771
SPN,2092907
AAM,2092716
KDR,2090227
WAC,2088533
KIO,2084960
AMF,2083045
NDG,2082136
IUL,2079667
LDY,2078774
HDI,2072736
SSS,2072355
WBU,2070362
CPA,2069787
OAV,2068860
LKH,2067153
GFE,2067123
EAE,2062818
IUD,2061870
FST,2061129
BPA,2056229
HII,2055459
HRH,2054249
UKH,2046565
GEF,2045647
UML,2045633
LAA,2045011
CDS,2043575
EWY,2040208
CPS,2039567
TTP,2039328
PLC,2023809
ZOE,2021191
AIX,2019388
BEO,2018436
IJO,2018192
BSB,2015609
DYC,2010433
DPI,2009526
DNO,2008499
FCO,2007011
KOF,1997636
KSA,1996754
WOB,1995104
NYE,1992536
MPF,1992334
ATW,1988586
KBI,1988061
HSA,1984383
FAO,1984269
OBN,1983938
EHL,1981071
HAJ,1976434
DHR,1976087
MBN,1975124
LZA,1974254
DTI,1972183
EHT,1972159
XOP,1971965
EYC,1968131
EDC,1967796
UYL,1963110
UGB,1961392
UEH,1960616
ELN,1959070
YUK,1958939
PYE,1958444
BBU,1956625
OLW,1955922
PYA,1954969
EKN,1954534
PRC,1953793
RVY,1952818
NBC,1949971
GYL,1949325
APB,1948549
AJP,1948278
ISW,1937834
YBI,1936478
YUC,1934729
LLK,1924205
YSU,1922667
OEY,1922073
AVL,1921457
MWA,1920080
HTU,1919634
SDR,1917860
PCS,1917300
YDO,1917160
OSG,1910297
EPW,1908985
OVS,1908231
PIQ,1908195
DGK,1907678
LSU,1906389
WAZ,1906347
TDA,1906260
OLZ,1905249
FOY,1903250
AIB,1901717
CEK,1901387
ZUK,1898343
BTY,1896839
CME,1895033
RUX,1891707
DKA,1888825
ISZ,1888424
PFA,1887439
UEM,1886818
KKI,1885380
MLO,1885054
ULZ,1883523
WSB,1882494
DVD,1882317
EDH,1879724
INX,1879668
MCF,1878446
NPE,1873169
KHZ,1872190
GHF,1866286
LCR,1856620
LBL,1856105
TRL,1854339
LLR,1845623
OPC,1841009
VYI,1839747
BCE,1839511
AYC,1837188
KOE,1835961
LUZ,1834117
GFO,1833005
HRM,1832224
PFI,1832107
STT,1830849
HKI,1830785
LLH,1828568
TYC,1824472
OAB,1824238
MSP,1821400
RTT,1820161
FTC,1818610
UAV,1817971
QUR,1816304
OOI,1814489
CEW,1814205
LFH,1812656
TBI,1811423
TTV,1811232
YSB,1804561
ZIC,1802877
AOM,1801095
EYF,1800713
VIM,1799227
RNP,1796309
UYT,1795221
ITK,1795009
AKB,1794747
VLO,1794218
AEF,1791575
RLW,1788893
DOF,1787500
TEK,1787475
COZ,1787464
LMY,1785911
DUV,1784733
WAA,1782755
RYG,1780883
YVE,1778349
HDO,1777847
BNA,1776752
YOD,1775462
LPY,1771731
JEM,1767484
LZE,1767466
CRC,1765384
UEI,1765202
DTE,1762976
GDR,1762481
KUT,1762181
SDS,1761274
YCK,1759759
YGM,1758503
RSF,1757922
ITW,1757522
LOZ,1757432
YEH,1756185
WYC,1752959
TKE,1751946
NKH,1750644
SGA,1749386
BAO,1749357
CAW,1749307
YEU,1748164
LUW,1742989
OVT,1738163
HDU,1737079
WNP,1736001
CDN,1732484
GPS,1731034
LFC,1730121
UJE,1728834
RIY,1727883
HFA,1724837
RUY,1724735
FUK,1723248
DRS,1723089
KIB,1722425
BUH,1721716
OOH,1715720
MUK,1715534
FEY,1715173
OAQ,1710412
TZU,1707885
GZA,1704697
IGZ,1704697
RGM,1703335
RDH,1702033
KHI,1698508
SPB,1696818
IKU,1695650
HSH,1695292
CEH,1695105
TTM,1694092
USG,1693597
DCS,1693302
YRT,1690656
UZU,1688213
NPI,1685260
LFL,1684683
ZID,1679189
ETM,1677764
GUC,1675562
GOF,1674366
LNC,1674312
FIZ,1674228
FKA,1674213
OEO,1674144
PAX,1671548
EIU,1668998
GUB,1667968
AJU,1665885
HSU,1663670
QUY,1662117
ZOM,1661340
QUH,1657447
PWI,1651667
YUS,1649734
AFY,1645825
ZIB,1644002
TWR,1641919
ODK,1641697
IDP,1638756
RDC,1638404
XAV,1637588
SZT,1637324
EYH,1635425
AZL,1632186
OCQ,1627999
DGS,1626480
WCH,1626271
BPS,1626030
HYO,1623751
NGZ,1622801
UOV,1622369
ZIT,1621747
OKM,1618511
FTP,1615821
RDP,1613503
CGO,1612392
KAC,1612145
CHH,1611597
DBL,1608083
SUK,1607750
KVI,1605698
JOD,1604902
AOC,1604039
PYO,1602071
HRL,1600866
PFE,1600181
LTL,1599257
SYT,1598794
ECG,1595031
OJI,1592592
HGO,1591973
DOH,1590599
TPH,1590198
WDR,1589001
AMC,1587973
AON,1587378
RPN,1585478
PBS,1578656
UHL,1577169
LXI,1573881
SUV,1572245
FDO,1571908
OKB,1571838
BJO,1571190
WBR,1567855
AFK,1563740
AHY,1563325
GEY,1562772
TAJ,1561859
GIP,1561604
MPG,1559936
YWE,1558489
OFR,1556572
RYK,1556263
BMS,1555712
KFI,1554610
CSS,1553575
DNS,1551726
CYD,1545992
WDY,1541874
OAU,1537162
MEK,1537013
JPU,1536307
OBD,1535639
EQN,1534419
LOX,1533865
EPF,1532068
LYU,1530937
TZA,1528396
LEQ,1523967
OFM,1523938
CMS,1523446
PCI,1520186
WMI,1518508
MAW,1516489
AOP,1514490
MIQ,1514050
GMI,1511787
EMF,1510986
CGU,1510369
ZUN,1505550
XIF,1505022
PYG,1505001
ZOG,1504577
WUL,1503443
UBF,1502941
NOK,1501777
KYR,1501687
UMT,1500613
EZH,1498635
LSP,1497626
UFE,1496632
LRA,1492792
NTC,1492158
KHT,1488613
CBR,1486281
ESR,1485580
PDF,1484405
YEP,1479372
LGU,1478777
EPC,1478402
HPA,1477342
KIK,1477234
EOZ,1476076
JIH,1475959
TKA,1474776
OEH,1471545
EII,1470085
FHA,1469714
RSN,1468954
IFR,1467581
DIJ,1466870
TFR,1465894
USM,1465695
TQU,1464907
IAX,1464312
MDA,1463179
FHO,1459868
NNH,1457807
GPI,1454930
KHU,1454822
KBR,1453112
OKH,1452026
YGU,1450100
DYG,1450100
ZUC,1449646
RUK,1448406
EYT,1448324
LVD,1448201
BLV,1448201
LLG,1446859
IXP,1445786
LSW,1443852
DDT,1442224
POY,1441468
KHM,1441404
OWU,1440345
MIH,1436658
UZB,1436628
LDG,1436383
ONX,1434133
TYT,1433486
BEU,1433287
ECZ,1432550
SZA,1429299
AFS,1428426
ASR,1427993
YFA,1423084
PDE,1422575
PTN,1422065
CDC,1419582
HMM,1419015
FDR,1417318
AYY,1415698
AAD,1413607
ZOT,1410356
YAP,1408476
DBM,1407418
EFC,1407320
PCB,1406297
SUH,1404915
IWO,1401199
UNZ,1401191
IGT,1400679
NNT,1399869
CPI,1399789
VEB,1399436
CGE,1399065
CKV,1396525
GUG,1395779
RMW,1394370
GNY,1393296
TII,1392742
BCA,1391947
GPA,1391086
UJO,1389922
MSD,1388179
MBD,1387922
OHU,1386093
TBS,1385042
DHD,1383789
HAQ,1382759
LMN,1381844
IRZ,1381357
KFL,1379456
IDB,1378441
MCO,1377055
GHZ,1374661
HTC,1374394
CFR,1373998
GPO,1373673
MML,1372410
KEB,1371606
YRY,1366262
AVD,1364940
VDA,1364940
SBR,1363943
RSV,1361808
LVU,1361709
YCY,1360841
KUG,1358832
EPM,1358695
MBH,1356416
HRB,1353764
SRS,1353632
KWH,1352774
JIV,1352206
DIW,1348667
EKD,1348207
GHG,1347848
NGC,1347326
GEC,1345340
PVC,1341109
ATQ,1340939
KYU,1337553
IHY,1333879
ICP,1333722
OLR,1332242
CLC,1330725
BPR,1330603
TRN,1330462
NHS,1329860
IDM,1328125
VLI,1327363
SZE,1324932
LYH,1324865
WPA,1324485
ABT,1323578
CDY,1323518
CEV,1322273
DPL,1319786
BCD,1313960
AUH,1313842
NII,1313265
ACG,1310533
SYB,1308377
YFO,1306501
ZCO,1306206
PPP,1302949
PSW,1301869
MGM,1301755
JEV,1299577
JEB,1296310
MSG,1294270
PSC,1291624
BLD,1291356
OXB,1287941
CAA,1286470
PWO,1279406
EAZ,1278516
EHN,1277479
GBR,1275819
CUZ,1273024
OEK,1271642
HDL,1271144
CLN,1269661
YIK,1269445
YAO,1267948
TTF,1266924
LSK,1266752
GBI,1265907
KSC,1265855
MFR,1265191
KYS,1262201
MPD,1261723
RLP,1256869
GEP,1256344
WRU,1255043
COQ,1251357
OXV,1248618
BHE,1247740
IIT,1247323
TMU,1247148
NNK,1246078
LZB,1244684
KGB,1244191
LMH,1241994
ZUS,1241721
SDN,1241562
RKT,1238775
RXE,1238326
ERX,1238326
